"Kod";"Nazwa";"Miejsca pracy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2021";28,3;"tys. msc.";"";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2022";30,9;"tys. msc.";"";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2023";27,5;"tys. msc.";"";
2400000;"ŚLĄSKIE";"zlikwidowane miejsca pracy";"2024";24,9;"tys. msc.";"";
2600000;"ŚWIĘTOKRZYSKIE";"nowo utworzone miejsca pracy";"2015";12,9;"tys. msc.";"";
2600000;"ŚWIĘTOKRZYSKIE";"nowo utworzone miejsca pracy";"2016";13,0;"tys. msc.";"";
2600000;"ŚWIĘTOKRZYSKIE";"nowo utworzone miejsca pracy";"2017";15,2;"tys. msc.";"";
2600000;"ŚWIĘTOKRZYSKIE";"nowo utworzone miejsca pracy";"2018";18,5;"tys. msc.";"";
2600000;"ŚWIĘTOKRZYSKIE";"nowo utworzone miejsca pracy";"2019";14,0;"tys. msc.";"";
2600000;"ŚWIĘTOKRZYSKIE";"nowo utworzone miejsca pracy";"2020";8,2;"tys. msc.";"";
2600000;"ŚWIĘTOKRZYSKIE";"nowo utworzone miejsca pracy";"2021";12,0;"tys. msc.";"";
